Timestamp;Date;Time;Hour;DayOfWeek;Close;Open;High;Low;Fibo_OK;Fibo_Score;Fibo_Level;Fibo_1618;Dist_Pips;Silva_OK;Silva_Score;Silva_BuyArrow;Silva_SellArrow;Silva_Middle;H1_OK;H1_Score;PZ_OK;PZ_Score;Candle_OK;Candle_Score;Candle_Pattern;RSI_OK;RSI_Score;RSI_Value;Total_Score;Setup_Type;Setup_Valid;Reason;Trade_Executed;Entry_Price;Stop_Loss;TP1;TP2;TP3;Result;Profit_Pips;Profit_USD;Balance_After
2026.01.09 17:00:00;2026.01.09;17:00;17;5;4496.69;4494.68;4500.13;4490.22;YES;3;1. 618;4500.05856;33.68560000000798;NO;0;NO;NO;4471.327260045706;YES;2;YES;1;NO;0;NONE;NO;0;67.91768227229176;6;NONE;NO;Score baixo: 6.0/11.5;NO;7.291122019562407e-304;4.010117110756292e-303;1.390671161567001e-309;0;1.390671161567001e-309;;5.663533889909496e-315;4.85686292487779e-318;-2.554675596204441e+295
2026.01.09 16:45:00;2026.01.09;16:45;16;5;4494.69;4487.99;4495.39;4479.3;YES;3;1. 618;4500.05856;53.68560000000798;NO;0;NO;NO;4471.175135981309;YES;2;YES;1;NO;0;NONE;NO;0;66.6983959502509;6;NONE;NO;Score baixo: 6.0/11.5;NO;2.096705886930322e-104;-1.099880892353935e+289;-1.829233714990352e-304;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-1.347181736538692e-299;6.70247791093164e+43
2026.01.09 16:30:00;2026.01.09;16:30;16;5;4487.93;4494.44;4498.18;4482.48;YES;3;1. 618;4500.05856;121.2856000000011;NO;0;NO;NO;4471.013177771659;YES;2;YES;1;NO;0;NONE;NO;0;62.1881537213218;6;NONE;NO;Score baixo: 6.0/11.5;NO;2.096705886930322e-104;-1.099880896523236e+289;-6.587092577350489e-299;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-4.705873489874747e-294;6.70247791093164e+43
2026.01.09 16:15:00;2026.01.09;16:15;16;5;4494.48;4489.3;4495.88;4483.68;YES;3;1. 618;4500.05856;55.78560000000834;NO;0;NO;NO;4470.840773219117;YES;2;YES;1;YES;1;INSIDE_BAR;NO;0;70.81766584087521;7;NONE;NO;Score baixo: 7.0/11.5;NO;2.096705886930322e-104;-1.099880900692538e+289;-2.19649375597407e-293;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-1.541456760227104e-288;6.70247791093164e+43
2026.01.09 16:00:00;2026.01.09;16:00;16;5;4489.41;4482.91;4496.49;4480.62;YES;3;1. 618;4500.05856;106.4856000000054;NO;0;NO;NO;4470.656794451337;YES;2;YES;1;NO;0;NONE;NO;0;67.58462156904488;6;NONE;NO;Score baixo: 6.0/11.5;NO;2.096705886930322e-104;-1.09988090486184e+289;-7.411416382022954e-288;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-5.391723580960574e-283;6.70247791093164e+43
2026.01.09 15:45:00;2026.01.09;15:45;15;5;4482.81;4487.09;4488.79;4478.89;NO;0;;4500.05856;172.4856;NO;0;NO;NO;4470.464381537658;YES;2;YES;1;YES;1;INSIDE_BAR;NO;0;62.57233821262376;4;NONE;NO;Score baixo: 4.0/11.5;NO;2.096705886930322e-104;-1.099880909031142e+289;-2.588446153192762e-282;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-1.836500418250648e-277;6.70247791093164e+43
2026.01.09 15:30:00;2026.01.09;15:30;15;5;4487.12;4472.85;4491.91;4458.12;YES;3;1. 618;4500.05856;129.3856000000051;NO;0;NO;NO;4470.26623627787;YES;2;YES;1;NO;0;NONE;NO;0;69.04635673540743;6;NONE;NO;Score baixo: 6.0/11.5;NO;2.096705886930322e-104;-1.099880913200443e+289;-8.477826011198912e-277;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-5.931513231066787e-272;6.70247791093164e+43
2026.01.09 15:15:00;2026.01.09;15:15;15;5;4472.89;4467.65;4474.55;4462.08;NO;0;;4531.360259999999;584.7025999999914;NO;0;NO;NO;4470.063360205981;YES;2;YES;1;NO;0;NONE;NO;0;54.66653922174258;3;NONE;NO;Score baixo: 3.0/11.5;NO;2.096705886930322e-104;-1.099880917369745e+289;-2.966007211050987e-271;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-2.136404414989465e-266;6.70247791093164e+43
2026.01.09 15:00:00;2026.01.09;15:00;15;5;4467.63;4465.92;4473.87;4463.67;NO;0;;4531.360259999999;637.3025999999936;NO;0;NO;NO;4469.859795511223;YES;2;YES;1;YES;1;ENGULFING_BULL;NO;0;46.06659576682563;4;NONE;NO;Score baixo: 4.0/11.5;NO;2.096705886930322e-104;-1.099880921539047e+289;-1.010118518551627e-265;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-7.124807124344263e-261;6.70247791093164e+43
2026.01.09 14:45:00;2026.01.09;14:45;14;5;4465.93;4465.97;4468.33;4463.68;NO;0;;4531.360259999999;654.3025999999918;NO;0;NO;NO;4469.656773665246;NO;0;YES;1;YES;1;INSIDE_BAR;NO;0;42.81070395303293;2;NONE;NO;Score baixo: 2.0/11.5;NO;2.096705886930322e-104;-1.099880925708348e+289;-3.263461998924915e-260;1.877943519842578e-320;1.390671161567001e-309;;2.705664534659703e-311;-2.403452531413071e-255;6.70247791093164e+43
