TradeNum,DateTime,Type,Entry,SL,TP,Result,Profit,BaseScore,FinalScore,ADX,EMA200_Aligned,GoldenHour,Month
53,2024.01.04 11:15,SELL,2047.15,2050.27,2042.48,WIN,4.67,10,9,16.4,YES,NO,2024-01
54,2024.01.04 11:30,SELL,2045.07,2048.12,2040.50,WIN,4.57,12,11,16.7,YES,NO,2024-01
55,2024.01.04 11:45,SELL,2044.77,2047.96,2039.98,WIN,4.79,12,14,19.7,YES,NO,2024-01
56,2024.01.04 12:00,SELL,2045.37,2048.57,2040.57,WIN,4.80,12,15,24.1,YES,YES,2024-01
57,2024.01.04 12:45,SELL,2046.18,2049.12,2041.77,WIN,4.41,12,16,28.3,YES,YES,2024-01
58,2024.01.04 13:15,SELL,2039.35,2042.21,2035.05,LOSS,-2.87,15,19,25.6,YES,YES,2024-01
59,2024.01.04 13:30,SELL,2040.15,2043.44,2035.21,LOSS,-3.29,12,16,27.8,YES,YES,2024-01
60,2024.01.04 14:30,SELL,2039.27,2042.89,2033.85,LOSS,-3.62,12,16,30.9,YES,YES,2024-01
61,2024.01.04 14:45,SELL,2045.11,2049.08,2039.16,WIN,5.95,12,16,32.6,YES,YES,2024-01
62,2024.01.04 15:30,SELL,2045.03,2049.79,2037.89,WIN,7.14,10,11,23.3,YES,NO,2024-01
63,2024.01.04 16:00,SELL,2045.06,2049.92,2037.77,WIN,7.29,10,11,19.6,YES,NO,2024-01
64,2024.01.04 17:15,SELL,2043.36,2047.63,2036.96,LOSS,-4.27,12,11,17.6,YES,NO,2024-01
65,2024.01.04 17:45,SELL,2042.34,2046.46,2036.16,LOSS,-4.12,11,13,21.0,YES,NO,2024-01
66,2024.01.04 18:00,SELL,2042.39,2046.53,2036.17,LOSS,-4.14,11,13,22.3,YES,NO,2024-01
67,2024.01.04 19:00,SELL,2042.75,2045.55,2038.55,LOSS,-2.80,14,16,20.6,YES,NO,2024-01
68,2024.01.04 19:15,SELL,2042.98,2045.66,2038.96,LOSS,-2.68,11,13,19.2,YES,NO,2024-01
69,2024.01.04 20:15,SELL,2044.27,2046.54,2040.86,LOSS,-2.27,9,8,17.6,YES,NO,2024-01
70,2024.01.04 20:30,SELL,2043.00,2045.16,2039.76,LOSS,-2.16,9,8,16.8,YES,NO,2024-01
71,2024.01.04 20:45,SELL,2043.21,2045.29,2040.08,LOSS,-2.08,11,10,16.8,YES,NO,2024-01
72,2024.01.04 21:15,SELL,2043.19,2044.97,2040.52,LOSS,-1.78,11,10,16.7,YES,NO,2024-01
73,2024.01.04 21:45,SELL,2044.46,2045.95,2042.22,LOSS,-1.49,11,10,17.1,YES,NO,2024-01
74,2024.01.04 23:15,SELL,2043.72,2045.30,2041.34,LOSS,-1.58,11,10,16.8,YES,NO,2024-01
75,2024.01.05 00:00,SELL,2043.85,2045.51,2041.36,LOSS,-1.66,9,10,20.5,YES,NO,2024-01
76,2024.01.05 01:15,SELL,2047.10,2048.97,2044.29,WIN,2.81,9,11,39.0,YES,NO,2024-01
77,2024.01.05 01:45,SELL,2046.57,2048.67,2043.42,WIN,3.15,9,11,42.5,YES,NO,2024-01
78,2024.01.05 02:30,SELL,2046.10,2048.43,2042.61,WIN,3.49,9,11,42.0,YES,NO,2024-01
79,2024.01.05 02:45,SELL,2045.21,2047.45,2041.85,WIN,3.36,9,11,39.9,YES,NO,2024-01
80,2024.01.05 03:00,SELL,2045.43,2047.74,2041.96,WIN,3.47,11,14,36.3,YES,NO,2024-01
81,2024.01.05 03:30,SELL,2045.24,2047.49,2041.86,WIN,3.38,11,14,30.4,YES,NO,2024-01
82,2024.01.05 04:00,SELL,2045.94,2048.20,2042.55,WIN,3.39,11,14,31.1,YES,NO,2024-01
83,2024.01.05 04:30,SELL,2044.56,2046.66,2041.41,WIN,3.15,11,14,26.3,YES,NO,2024-01
84,2024.01.05 04:45,SELL,2043.71,2045.66,2040.78,LOSS,-1.95,11,14,28.2,YES,NO,2024-01
85,2024.01.05 05:00,SELL,2044.21,2046.13,2041.32,WIN,2.89,11,14,32.1,YES,NO,2024-01
86,2024.01.05 05:45,SELL,2044.36,2046.06,2041.81,WIN,2.55,11,14,31.4,YES,NO,2024-01
87,2024.01.05 06:15,SELL,2041.26,2043.04,2038.58,LOSS,-1.78,11,14,29.6,YES,NO,2024-01
88,2024.01.05 06:30,SELL,2042.36,2044.15,2039.68,LOSS,-1.79,11,14,32.2,YES,NO,2024-01
89,2024.01.05 07:15,SELL,2043.56,2045.87,2040.09,WIN,3.47,9,11,28.2,YES,NO,2024-01
90,2024.01.05 07:30,SELL,2043.00,2045.41,2039.39,WIN,3.61,11,14,25.6,YES,NO,2024-01
91,2024.01.05 07:45,SELL,2042.76,2045.16,2039.15,WIN,3.61,12,14,23.9,YES,NO,2024-01
92,2024.01.05 08:00,SELL,2042.76,2045.30,2038.95,WIN,3.81,12,14,23.8,YES,NO,2024-01
93,2024.01.05 08:30,SELL,2042.39,2045.00,2038.48,WIN,3.91,12,15,25.7,YES,NO,2024-01
94,2024.01.05 09:15,SELL,2041.15,2043.96,2036.94,WIN,4.21,12,14,23.1,YES,NO,2024-01
95,2024.01.05 09:30,SELL,2038.74,2041.61,2034.44,LOSS,-2.87,12,14,24.6,YES,NO,2024-01
96,2024.01.05 09:45,SELL,2038.29,2041.22,2033.89,LOSS,-2.93,12,15,28.4,YES,NO,2024-01
97,2024.01.05 11:00,SELL,2037.55,2040.13,2033.68,LOSS,-2.58,12,15,33.4,YES,NO,2024-01
98,2024.01.05 12:15,SELL,2040.00,2042.53,2036.21,WIN,3.79,12,15,24.2,YES,YES,2024-01
99,2024.01.05 13:15,SELL,2033.82,2036.36,2030.01,LOSS,-2.54,12,15,24.2,YES,YES,2024-01
100,2024.01.05 14:00,SELL,2046.72,2052.49,2038.07,LOSS,-5.77,10,13,19.7,YES,YES,2024-01
101,2024.01.05 14:30,SELL,2046.59,2053.72,2035.89,LOSS,-7.13,10,13,20.4,YES,YES,2024-01
102,2024.01.05 15:15,SELL,2060.57,2070.10,2046.28,WIN,14.29,10,10,27.6,NO,NO,2024-01
103,2024.01.05 15:45,SELL,2055.64,2066.00,2040.10,WIN,15.54,10,10,28.6,NO,NO,2024-01
104,2024.01.05 16:15,SELL,2050.28,2061.45,2033.53,WIN,16.75,10,9,24.9,NO,NO,2024-01
105,2024.01.05 16:30,SELL,2044.95,2056.07,2028.27,WIN,16.68,10,9,24.1,NO,NO,2024-01
106,2024.01.05 16:45,SELL,2043.52,2055.08,2026.18,WIN,17.34,12,15,26.7,YES,NO,2024-01
107,2024.01.05 17:00,SELL,2041.45,2051.89,2025.80,WIN,15.65,12,15,30.6,YES,NO,2024-01
108,2024.01.05 17:15,SELL,2042.30,2051.94,2027.84,WIN,14.46,12,15,33.6,YES,NO,2024-01
109,2024.01.05 17:45,SELL,2041.59,2050.03,2028.93,LOSS,-8.44,11,14,38.0,YES,NO,2024-01
110,2024.01.05 18:00,SELL,2043.11,2050.96,2031.34,WIN,11.77,11,14,40.1,YES,NO,2024-01
111,2024.01.05 19:15,SELL,2046.55,2051.70,2038.82,WIN,7.73,9,9,33.1,NO,NO,2024-01
112,2024.01.05 19:30,SELL,2045.64,2050.54,2038.29,WIN,7.35,9,9,30.2,NO,NO,2024-01
113,2024.01.05 19:45,SELL,2044.54,2048.95,2037.92,WIN,6.62,11,14,27.9,YES,NO,2024-01
114,2024.01.05 20:00,SELL,2044.11,2048.55,2037.45,WIN,6.66,11,14,27.5,YES,NO,2024-01
115,2024.01.05 20:15,SELL,2043.65,2047.48,2037.91,WIN,5.74,14,17,27.2,YES,NO,2024-01
116,2024.01.05 20:30,SELL,2043.58,2047.13,2038.25,WIN,5.33,11,14,28.5,YES,NO,2024-01
117,2024.01.05 20:45,SELL,2044.38,2047.59,2039.56,WIN,4.82,11,14,27.9,YES,NO,2024-01
118,2024.01.07 23:15,SELL,2044.12,2046.50,2040.55,LOSS,-2.38,11,13,19.4,YES,NO,2024-01
119,2024.01.07 23:30,SELL,2044.20,2046.55,2040.67,WIN,3.53,11,13,20.6,YES,NO,2024-01
120,2024.01.08 00:45,SELL,2045.33,2047.32,2042.35,WIN,2.98,9,10,21.7,YES,NO,2024-01
121,2024.01.08 01:00,SELL,2045.70,2047.72,2042.68,WIN,3.02,9,10,20.0,YES,NO,2024-01
122,2024.01.08 01:30,SELL,2043.72,2045.91,2040.44,WIN,3.28,11,10,17.9,YES,NO,2024-01
123,2024.01.08 02:00,SELL,2042.43,2044.84,2038.82,WIN,3.61,11,13,21.2,YES,NO,2024-01
124,2024.01.08 02:15,SELL,2042.94,2045.31,2039.38,WIN,3.56,11,13,23.4,YES,NO,2024-01
125,2024.01.08 02:45,SELL,2040.27,2042.55,2036.85,WIN,3.42,11,14,27.0,YES,NO,2024-01
126,2024.01.08 03:00,SELL,2039.96,2042.26,2036.52,WIN,3.44,11,14,31.3,YES,NO,2024-01
127,2024.01.08 03:15,SELL,2037.43,2039.72,2034.00,WIN,3.43,11,14,35.1,YES,NO,2024-01
128,2024.01.08 03:30,SELL,2036.02,2038.67,2032.04,WIN,3.98,11,14,39.8,YES,NO,2024-01
129,2024.01.08 12:00,BUY,2019.99,2016.15,2025.75,WIN,5.76,10,11,39.7,NO,YES,2024-01
130,2024.01.08 12:45,BUY,2020.79,2016.69,2026.94,WIN,6.15,10,11,41.1,NO,YES,2024-01
131,2024.01.08 13:15,BUY,2022.30,2017.78,2029.07,WIN,6.77,10,11,33.4,NO,YES,2024-01
132,2024.01.08 13:30,BUY,2018.90,2014.15,2026.03,WIN,7.13,10,11,31.5,NO,YES,2024-01
133,2024.01.08 14:00,BUY,2020.20,2015.08,2027.88,WIN,7.68,10,11,31.6,NO,YES,2024-01
134,2024.01.08 14:30,BUY,2026.31,2020.72,2034.69,WIN,8.38,12,14,29.0,NO,YES,2024-01
135,2024.01.08 14:45,BUY,2028.94,2023.85,2036.58,WIN,7.64,12,14,28.5,NO,YES,2024-01
136,2024.01.08 15:00,BUY,2030.26,2025.04,2038.09,WIN,7.83,12,13,30.4,NO,NO,2024-01
137,2024.01.08 15:15,BUY,2032.41,2027.11,2040.36,LOSS,-5.30,12,13,32.3,NO,NO,2024-01
138,2024.01.08 18:30,BUY,2026.50,2022.98,2031.79,WIN,5.29,9,9,38.0,NO,NO,2024-01
139,2024.01.08 19:00,BUY,2028.16,2024.94,2032.99,WIN,4.83,11,11,36.3,NO,NO,2024-01
140,2024.01.08 19:45,BUY,2026.41,2023.82,2030.29,WIN,3.88,11,11,29.3,NO,NO,2024-01
141,2024.01.08 20:15,BUY,2027.04,2024.48,2030.87,WIN,3.83,9,8,23.0,NO,NO,2024-01
142,2024.01.08 21:00,BUY,2028.52,2026.35,2031.77,WIN,3.25,11,10,19.7,NO,NO,2024-01
143,2024.01.08 21:15,BUY,2027.98,2025.83,2031.21,WIN,3.23,11,10,22.8,NO,NO,2024-01
144,2024.01.08 23:00,BUY,2028.73,2026.83,2031.59,WIN,2.86,11,11,25.3,NO,NO,2024-01
145,2024.01.08 23:15,BUY,2029.13,2027.27,2031.92,WIN,2.79,11,11,27.5,NO,NO,2024-01
146,2024.01.08 23:30,BUY,2030.67,2028.92,2033.30,WIN,2.63,11,11,30.8,NO,NO,2024-01
147,2024.01.08 23:45,BUY,2032.89,2031.02,2035.69,WIN,2.80,11,11,35.5,NO,NO,2024-01
148,2024.01.09 00:00,BUY,2033.77,2031.72,2036.85,LOSS,-2.05,11,11,40.6,NO,NO,2024-01
149,2024.01.09 00:15,BUY,2034.39,2032.27,2037.57,LOSS,-2.12,11,11,45.7,NO,NO,2024-01
150,2024.01.09 01:45,BUY,2034.85,2032.56,2038.28,LOSS,-2.29,11,11,48.8,NO,NO,2024-01
151,2024.01.09 02:00,BUY,2034.85,2032.33,2038.64,LOSS,-2.52,11,11,48.1,NO,NO,2024-01
152,2024.01.09 03:15,BUY,2033.79,2030.99,2037.99,LOSS,-2.80,11,11,38.7,NO,NO,2024-01
153,2024.01.09 04:30,BUY,2032.80,2030.35,2036.48,LOSS,-2.45,11,10,23.9,NO,NO,2024-01
154,2024.01.09 05:45,BUY,2031.47,2029.36,2034.64,WIN,3.17,11,11,29.2,NO,NO,2024-01
155,2024.01.09 06:15,BUY,2034.35,2032.25,2037.50,LOSS,-2.10,11,11,29.9,NO,NO,2024-01
156,2024.01.09 06:30,BUY,2033.12,2030.77,2036.64,WIN,3.52,11,11,26.0,NO,NO,2024-01
157,2024.01.09 07:00,BUY,2036.34,2033.59,2040.47,LOSS,-2.75,11,10,20.6,NO,NO,2024-01
158,2024.01.09 07:15,BUY,2035.91,2032.88,2040.45,LOSS,-3.03,11,13,21.4,YES,NO,2024-01
159,2024.01.09 08:30,BUY,2034.15,2030.12,2040.20,WIN,6.05,12,11,18.7,NO,NO,2024-01
160,2024.01.09 08:45,BUY,2033.21,2029.21,2039.21,WIN,6.00,12,9,17.1,NO,NO,2024-01
161,2024.01.09 09:30,BUY,2035.35,2031.37,2041.32,WIN,5.97,12,11,15.1,YES,NO,2024-01
162,2024.01.09 10:00,BUY,2037.79,2033.93,2043.57,LOSS,-3.86,12,11,17.9,YES,NO,2024-01
163,2024.01.09 11:15,BUY,2034.09,2030.69,2039.19,WIN,5.10,12,11,20.3,NO,NO,2024-01
164,2024.01.09 11:45,BUY,2035.40,2032.43,2039.85,LOSS,-2.97,12,11,19.9,NO,NO,2024-01
165,2024.01.09 12:00,BUY,2035.08,2032.23,2039.36,LOSS,-2.85,12,13,18.5,NO,YES,2024-01
166,2024.01.09 12:45,BUY,2035.23,2032.50,2039.33,LOSS,-2.73,12,13,15.2,YES,YES,2024-01
167,2024.01.09 15:15,BUY,2032.64,2028.07,2039.49,LOSS,-4.57,10,9,25.0,NO,NO,2024-01
168,2024.01.09 16:15,BUY,2029.17,2023.82,2037.19,LOSS,-5.35,10,10,41.5,NO,NO,2024-01
169,2024.01.09 16:45,BUY,2029.99,2024.87,2037.66,LOSS,-5.12,10,10,41.3,NO,NO,2024-01
170,2024.01.09 17:45,BUY,2028.07,2024.12,2033.99,LOSS,-3.95,9,9,42.4,NO,NO,2024-01
171,2024.01.09 18:00,BUY,2027.32,2023.41,2033.19,WIN,5.87,9,9,42.4,NO,NO,2024-01
172,2024.01.09 18:30,BUY,2029.06,2025.39,2034.56,LOSS,-3.67,9,9,42.7,NO,NO,2024-01
