Timestamp;Date;Time;Hour;DayOfWeek;Close;Open;High;Low;Fibo_OK;Fibo_Score;Fibo_Level;Fibo_618;Fibo_1618;Last_High;Last_Low;Silva_OK;Silva_Score;Silva_Middle;Silva_Upper;Silva_Lower;Silva_Pattern;MBB_OK;MBB_Score;MBB_Upper;MBB_Lower;MBB_SRSI;MBB_Pattern;H1_OK;H1_Score;Candle_OK;Candle_Score;Candle_Pattern;RSI_OK;RSI_Score;RSI_Value;Total_Score;Setup_Type;Setup_Valid;Reason;Trade_Executed;Entry_Price;Stop_Loss;TP1;TP2;TP3;Result;Profit_Pips;Profit_USD;Balance_After
2026.01.09 17:30:00;2026.01.09;17:30;17;5;4514.39;4505.53;4517.2;4505.47;YES;4;0.618-1.618;4494.63144;4553.71144;4517.2;4458.12;NO;0;4473.246815844602;4503.953210513135;4439.423195426019;;NO;0;67.31585712847088;47.81070395303291;71.45171856807565;;YES;2;NO;0;NONE;NO;0;76.45171856807565;6;NONE;NO;Score baixo: 6.0/13. 0;NO;1.20200404898957e-315;8.289174515526014e-317;1.877449454196737e-321;4.940656458412465e-324;0;;5.941588214712644e-312;4.662872989694683e-317;5.69618907777848e-306
2026.01.09 17:15:00;2026.01.09;17:15;17;5;4505.52;4496.7;4510.99;4493.34;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4473.081568224301;4502.695314652403;4439.173494190062;;NO;0;66.1890465830308;47.81070395303291;67.67457040972421;;YES;2;NO;0;NONE;NO;0;72.67457040972421;2;NONE;NO;Score baixo: 2.0/13. 0;NO;2.621848582768416e-221;3.340560815209801e-245;7.815354122106867e-239;1.092208393867793e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366435151e-221
2026.01.09 17:00:00;2026.01.09;17:00;17;5;4496.69;4494.68;4500.13;4490.22;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4472.901629955947;4501.863299034723;4438.908891435272;;NO;0;65.46340384816745;47.81070395303291;65.81766584087521;;YES;2;NO;0;NONE;NO;0;67.91768227229176;2;NONE;NO;Score baixo: 2.0/13. 0;NO;2.621848582768416e-221;3.341224248421285e-245;7.815354122106867e-239;1.092210271317248e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366435337e-221
2026.01.09 16:45:00;2026.01.09;16:45;16;5;4494.69;4487.99;4495.39;4479.3;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4472.71162308386;4501.331602527132;4438.63400867945;;NO;0;65.10914202707389;47.81070395303291;65.81766584087521;;YES;2;NO;0;NONE;NO;0;66.6983959502509;2;NONE;NO;Score baixo: 2.0/13. 0;NO;2.621848582768416e-221;3.341887681632768e-245;7.815354122106867e-239;1.092212148766702e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366435524e-221
2026.01.09 16:30:00;2026.01.09;16:30;16;5;4487.93;4494.44;4498.18;4482.48;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4472.513579152632;4500.94101323689;4438.350876939354;;NO;0;64.75488020598031;47.81070395303291;65.81766584087521;;YES;2;NO;0;NONE;NO;0;62.1881537213218;2;NONE;NO;Score baixo: 2.0/13. 0;NO;2.621848582768416e-221;3.342551114844251e-245;7.815354122106867e-239;1.092214026216156e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366435711e-221
2026.01.09 16:15:00;2026.01.09;16:15;16;5;4494.48;4489.3;4495.88;4483.68;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4472.306786959553;4500.586370739694;4438.058784483122;;NO;0;63.48713978516626;47.81070395303291;65.81766584087521;;YES;2;YES;1;INSIDE_BAR;NO;0;70.81766584087521;3;NONE;NO;Score baixo: 3.0/13. 0;NO;2.621848582768416e-221;3.343214548055735e-245;7.815354122106867e-239;1.09221590366561e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366435898e-221
2026.01.09 16:00:00;2026.01.09;16:00;16;5;4489.41;4482.91;4496.49;4480.62;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4472.090043739278;4500.126633103639;4437.756528014934;;NO;0;62.21939936435221;47.81070395303291;64.04635673540743;;YES;2;NO;0;NONE;NO;0;67.58462156904488;2;NONE;NO;Score baixo: 2.0/13. 0;NO;2.621848582768416e-221;3.343877981267218e-245;7.815354122106867e-239;1.092217781115064e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366436084e-221
2026.01.09 15:45:00;2026.01.09;15:45;15;5;4482.81;4487.09;4488.79;4478.89;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4471.866284821883;4499.743508793582;4437.447042333069;;NO;0;61.30592076463169;47.81070395303291;64.04635673540743;;YES;2;YES;1;INSIDE_BAR;NO;0;62.57233821262376;3;NONE;NO;Score baixo: 3.0/13. 0;NO;2.621848582768416e-221;3.344541414478702e-245;7.815354122106867e-239;1.092219658564519e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366436271e-221
2026.01.09 15:30:00;2026.01.09;15:30;15;5;4487.12;4472.85;4491.91;4458.12;NO;0;;4494.63144;4553.71144;4458.12;4484.04;NO;0;4471.638039068992;4499.478957113143;4437.132855766025;;NO;0;60.39244216491119;47.82484389152573;64.04635673540743;;YES;2;NO;0;NONE;NO;0;69.04635673540743;2;NONE;NO;Score baixo: 2.0/13. 0;NO;2.621848582768416e-221;3.345204847690185e-245;7.815354122106867e-239;1.092221536013973e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366436458e-221
2026.01.09 15:15:00;2026.01.09;15:15;15;5;4472.89;4467.65;4474.55;4462.08;YES;4;0.618-1.618;4454.79026;4531.360259999999;4484.04;4407.47;NO;0;4471.406201277435;4499.244863927132;4436.814862576177;;YES;2.5;59.47896356519068;48.29904012333954;49.66653922174258;SRSI_REVERSAL;YES;2;NO;0;NONE;NO;0;54.66653922174258;8.5;NONE;NO;Score baixo: 8.5/13. 0;NO;2.621848582768416e-221;3.345868280901669e-245;7.815354122106867e-239;1.092223413463427e-315;0;;1.137616671953092e-284;2.622734930171313e-221;2.622760366436645e-221
